"","min.cov","max.cov","mean.cov","sd.cov","min.scov","max.scov","mean.scov","sd.scov","predictor"
"1",0.75,200,8.97447643979058,30.3609484655992,-0.443929237,2.793139397,-0.310312199099476,0.493252065041758,"log.drainage"
"2",10,26,14.979057591623,2.59338429448991,-1.460593487,1.460593487,-0.551546100486911,0.473485026041664,"temp"
"3",100,676,231.089005235602,95.3453400871563,0,2.13333333426682,0.528097730965943,0.383277109252628,"temp2"
"4",10,190,100,37.4340836135936,-1,1,0,0.415934262373262,"freq"
"5",0,10,9.21465968586388,2.17479780519269,-1.897366596,1.264911064,1.01656465091099,0.687731451437787,"flow"
"6",0,100,82.1335078534031,32.3778556065941,-1.264911064,1.264911064,0.81292059217801,0.819102155707507,"riparian"
"7",0,100,74.2146596858639,33.3431815122248,-1.264911064,1.264911064,0.61258781895288,0.843523184075467,"upland"
"8",0,1,0.0196335078534031,0.138828167181167,0,1,0.0196335078534031,0.138828167181167,"trout"
"9",0,1,0.00785340314136126,0.0883285863280703,0,1,0.00785340314136126,0.0883285863280703,"sp1"
"10",0,1,0.00785340314136126,0.0883285863280703,0,1,0.00785340314136126,0.0883285863280703,"sp2"
"11",0,1900,921.465968586387,321.480760815154,-1.897366596,1.897366596,0,0.427127317928823,"freq.flow"
"12",0,10000,6537.95811518325,3888.72276765047,-1.59999999982961,1.59999999982961,0.781151832377546,0.950276628166882,"ripa.upla"
